tender_id,tender_risk_score,tender_risk_level,vendor_count,max_vendor_risk,avg_vendor_risk,high_risk_vendors,suspicious_vendors,judul,instansi,tanggal,nilai_hps,sumber
RINGB-2024-00020,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 20,Kementerian PUPR — Balai Besar,2024-05-13,23117448541.0,demo
RINGB-2024-00021,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 21,Dinas SDA DKI Jakarta,2023-03-18,5280313673.0,demo
RINGB-2024-00022,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 22,Kementerian PUPR — Balai Besar,2023-05-22,22069251509.0,demo
RINGB-2024-00023,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 23,BPTJ DKI Jakarta,2024-04-05,3143031192.0,demo
RINGB-2024-00024,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 24,Satuan Kerja PUPR DKI,2023-05-16,5709171673.0,demo
RINGB-2024-00025,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 25,Satuan Kerja PUPR DKI,2024-03-21,39085363418.0,demo
RINGB-2024-00026,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 26,Kementerian PUPR — Balai Besar,2023-01-01,35660177636.0,demo
RINGB-2024-00027,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 27,Satuan Kerja PUPR DKI,2024-02-24,14117894769.0,demo
RINGB-2024-00028,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 28,Kementerian PUPR — Balai Besar,2023-07-01,25403384798.0,demo
RINGB-2024-00029,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 29,BPTJ DKI Jakarta,2023-03-01,4903490644.0,demo
RINGB-2024-00030,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 30,Satuan Kerja PUPR DKI,2024-04-08,12398338534.0,demo
RINGB-2024-00031,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 31,Satuan Kerja PUPR DKI,2023-01-07,24332781067.0,demo
RINGB-2024-00032,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 32,BPTJ DKI Jakarta,2023-04-04,6250348288.0,demo
RINGB-2024-00033,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 33,BPTJ DKI Jakarta,2024-11-03,4765595601.0,demo
RINGB-2024-00034,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 34,Kementerian PUPR — Balai Besar,2023-02-24,41130367638.0,demo
RINGB-2024-00035,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 35,Satuan Kerja PUPR DKI,2024-11-27,1227938922.0,demo
RINGB-2024-00036,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 36,Satuan Kerja PUPR DKI,2024-07-29,35713137025.0,demo
RINGB-2024-00037,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 37,Kementerian PUPR — Balai Besar,2024-02-28,29858354878.0,demo
RINGB-2024-00038,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 38,Satuan Kerja PUPR DKI,2024-04-28,38416559821.0,demo
RINGB-2024-00039,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 39,Dinas SDA DKI Jakarta,2024-04-30,10508137020.0,demo
RINGB-2024-00040,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 40,BPTJ DKI Jakarta,2023-02-06,13261937942.0,demo
RINGB-2024-00041,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 41,Dinas SDA DKI Jakarta,2023-03-12,23679467307.0,demo
RINGB-2024-00042,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 42,Satuan Kerja PUPR DKI,2024-06-20,38315073797.0,demo
RINGB-2024-00043,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 43,Kementerian PUPR — Balai Besar,2023-10-07,48961173005.0,demo
RINGB-2024-00044,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 44,Satuan Kerja PUPR DKI,2023-11-03,46581972505.0,demo
RINGB-2024-00045,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 45,Kementerian PUPR — Balai Besar,2024-10-07,48467835788.0,demo
RINGB-2024-00046,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 46,Kementerian PUPR — Balai Besar,2024-03-30,46387093192.0,demo
RINGB-2024-00047,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 47,Satuan Kerja PUPR DKI,2024-02-11,8393060261.0,demo
RINGB-2024-00048,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 48,Satuan Kerja PUPR DKI,2023-11-29,5803436515.0,demo
RINGB-2024-00050,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 50,BPTJ DKI Jakarta,2023-05-26,16762431066.0,demo
RINGB-2024-00051,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 51,Dinas SDA DKI Jakarta,2023-06-22,31875372206.0,demo
RINGB-2024-00052,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 52,Satuan Kerja PUPR DKI,2024-12-16,47054590271.0,demo
RINGB-2024-00053,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 53,Kementerian PUPR — Balai Besar,2023-11-18,39354211862.0,demo
RINGB-2024-00054,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 54,Kementerian PUPR — Balai Besar,2024-12-17,45989156455.0,demo
RINGB-2024-00055,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 55,Satuan Kerja PUPR DKI,2024-11-01,34476076476.0,demo
RINGB-2024-00056,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 56,Satuan Kerja PUPR DKI,2023-02-14,47815151265.0,demo
RINGB-2024-00057,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 57,BPTJ DKI Jakarta,2023-12-29,35560701004.0,demo
RINGB-2024-00058,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 58,BPTJ DKI Jakarta,2023-02-19,981275966.0,demo
RINGB-2024-00059,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 59,BPTJ DKI Jakarta,2023-07-28,34656454037.0,demo
RINGB-2024-00060,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 60,Dinas SDA DKI Jakarta,2024-03-14,2757552986.0,demo
RINGB-2024-00061,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 61,BPTJ DKI Jakarta,2023-08-15,49529039710.0,demo
RINGB-2024-00062,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 62,Satuan Kerja PUPR DKI,2023-09-07,45510476980.0,demo
RINGB-2024-00063,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 63,BPTJ DKI Jakarta,2024-02-22,48205828258.0,demo
RINGB-2024-00066,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 66,Satuan Kerja PUPR DKI,2023-11-11,29262131684.0,demo
RINGB-2024-00067,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 67,Dinas SDA DKI Jakarta,2023-12-09,16740540794.0,demo
RINGB-2024-00068,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 68,Kementerian PUPR — Balai Besar,2023-11-17,13127641674.0,demo
RINGB-2024-00069,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 69,BPTJ DKI Jakarta,2024-10-04,9745122967.0,demo
RINGB-2024-00070,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 70,BPTJ DKI Jakarta,2023-03-13,1254050497.0,demo
RINGB-2024-00071,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 71,BPTJ DKI Jakarta,2023-12-31,12592122002.0,demo
RINGB-2024-00072,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 72,Dinas SDA DKI Jakarta,2023-01-15,7997607014.0,demo
RINGB-2024-00073,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 73,BPTJ DKI Jakarta,2023-10-16,44871043325.0,demo
RINGB-2024-00074,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 74,Kementerian PUPR — Balai Besar,2023-11-28,42931888342.0,demo
RINGB-2024-00075,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 75,Satuan Kerja PUPR DKI,2023-06-21,20064446101.0,demo
RINGB-2024-00076,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 76,BPTJ DKI Jakarta,2024-12-11,7502532461.0,demo
RINGB-2024-00077,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 77,BPTJ DKI Jakarta,2024-12-12,29993967911.0,demo
RINGB-2024-00078,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 78,Dinas SDA DKI Jakarta,2024-12-31,37720749768.0,demo
RINGB-2024-00079,0.447,MEDIUM,4,0.455,0.429,0,"CV BANGUN JAYA ABADI, PT BANGUN JAYA KONSTRUKSI, UD JAYA BANGUN PERKASA",Pembangunan Gedung Pemerintah Paket RING-B 79,Dinas SDA DKI Jakarta,2023-03-11,17952296338.0,demo
NORMAL-2024-00081,0.35,LOW,8,0.35,0.35,0,,Pekerjaan Konstruksi Dinas Bina Marga Jakarta Utara Paket 81,Dinas Bina Marga Jakarta Utara,2023-12-02,46720700995.0,demo
NORMAL-2024-00082,0.35,LOW,6,0.35,0.35,0,,Pekerjaan Konstruksi Dinas SDA DKI Jakarta Paket 82,Dinas SDA DKI Jakarta,2024-02-17,18613898950.0,demo
NORMAL-2024-00083,0.35,LOW,6,0.35,0.35,0,,Pekerjaan Konstruksi Dinas Bina Marga Jakarta Utara Paket 83,Dinas Bina Marga Jakarta Utara,2023-07-23,30321916083.0,demo
NORMAL-2024-00084,0.35,LOW,6,0.35,0.35,0,,Pekerjaan Konstruksi Kementerian PUPR — Balai Besar Paket 84,Kementerian PUPR — Balai Besar,2024-12-26,28364750902.0,demo
NORMAL-2024-00085,0.35,LOW,7,0.35,0.35,0,,Pekerjaan Konstruksi Dinas Bina Marga Jakarta Utara Paket 85,Dinas Bina Marga Jakarta Utara,2024-06-20,31636749437.0,demo
NORMAL-2024-00086,0.35,LOW,6,0.35,0.35,0,,Pekerjaan Konstruksi Dinas SDA DKI Jakarta Paket 86,Dinas SDA DKI Jakarta,2024-11-09,24179363675.0,demo
NORMAL-2024-00087,0.35,LOW,5,0.35,0.35,0,,Pekerjaan Konstruksi Dinas Perumahan Rakyat DKI Jakarta Paket 87,Dinas Perumahan Rakyat DKI Jakarta,2024-12-07,35396918857.0,demo
NORMAL-2024-00088,0.35,LOW,8,0.35,0.35,0,,Pekerjaan Konstruksi Dinas Cipta Karya Jakarta Selatan Paket 88,Dinas Cipta Karya Jakarta Selatan,2023-12-21,46238476779.0,demo
NORMAL-2024-00089,0.35,LOW,5,0.35,0.35,0,,Pekerjaan Konstruksi Kementerian PUPR — Balai Besar Paket 89,Kementerian PUPR — Balai Besar,2024-05-03,32701665248.0,demo
NORMAL-2024-00090,0.35,LOW,8,0.35,0.35,0,,Pekerjaan Konstruksi Satuan Kerja PUPR DKI Paket 90,Satuan Kerja PUPR DKI,2024-05-22,9722425780.0,demo
NORMAL-2024-00091,0.35,LOW,4,0.35,0.35,0,,Pekerjaan Konstruksi BPTJ DKI Jakarta Paket 91,BPTJ DKI Jakarta,2024-08-04,33882856425.0,demo
NORMAL-2024-00092,0.35,LOW,5,0.35,0.35,0,,Pekerjaan Konstruksi BPTJ DKI Jakarta Paket 92,BPTJ DKI Jakarta,2024-01-28,12158302014.0,demo
NORMAL-2024-00093,0.35,LOW,5,0.35,0.35,0,,Pekerjaan Konstruksi Dinas Cipta Karya Jakarta Selatan Paket 93,Dinas Cipta Karya Jakarta Selatan,2024-10-16,45848454100.0,demo
NORMAL-2024-00094,0.35,LOW,8,0.35,0.35,0,,Pekerjaan Konstruksi Dinas Cipta Karya Jakarta Selatan Paket 94,Dinas Cipta Karya Jakarta Selatan,2024-06-22,22614024886.0,demo
NORMAL-2024-00095,0.35,LOW,3,0.35,0.35,0,,Pekerjaan Konstruksi Dinas PU DKI Jakarta Paket 95,Dinas PU DKI Jakarta,2024-02-10,13095632344.0,demo
NORMAL-2024-00096,0.35,LOW,4,0.35,0.35,0,,Pekerjaan Konstruksi Kementerian PUPR — Balai Besar Paket 96,Kementerian PUPR — Balai Besar,2023-02-02,14710989991.0,demo
NORMAL-2024-00097,0.35,LOW,3,0.35,0.35,0,,Pekerjaan Konstruksi Dinas Bina Marga Jakarta Utara Paket 97,Dinas Bina Marga Jakarta Utara,2024-10-31,43084185766.0,demo
NORMAL-2024-00098,0.35,LOW,4,0.35,0.35,0,,Pekerjaan Konstruksi Satuan Kerja PUPR DKI Paket 98,Satuan Kerja PUPR DKI,2024-06-28,19274185168.0,demo
NORMAL-2024-00099,0.35,LOW,7,0.35,0.35,0,,Pekerjaan Konstruksi Dinas Perumahan Rakyat DKI Jakarta Paket 99,Dinas Perumahan Rakyat DKI Jakarta,2023-07-31,3830899693.0,demo
